"","year","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","n"
"1","1993",0.0297744927933562,0.0428738568404634,0.00819157788833127,0.0246158301481716,0.104448795993617,0.0742116832711901,0.0218509750954698,0.0520406716446553,0.0139594246822552,0.0666044749741978,0.0555081588635739,0.134880080780716,0.0307675433030837,0.0609254140437892,0.013129101680827,0.12427623158561,0.0488981793432592,0.025573911187599,0.0227667162849751,0.044702879594858,1224
"2","1994",0.0458010424274832,0.0859614734820478,0.00809670066042917,0.0232666023463506,0.0820796891915921,0.0864360156599775,0.027846099419728,0.0543878133016902,0.0167626014878209,0.0483713679783694,0.0482925723079315,0.0889092852723437,0.0383958890485622,0.0591178771874961,0.0149951985165657,0.127175979241165,0.0429071972072293,0.0255122919604519,0.0284091279365824,0.0472751753661832,2479
"3","1995",0.0574721645356541,0.0723522162324897,0.00845113052341898,0.0237112707251849,0.0924442787135151,0.115308808129713,0.0305835290562185,0.0616838266832576,0.0250257190520266,0.0393065557272876,0.0457593176315407,0.0589574062465141,0.0290965965848983,0.0532297732179425,0.0204935474799932,0.102544000588661,0.0484420131833797,0.0300385871663475,0.0341924268140402,0.0509068317079168,4918
"4","1996",0.0626645071311284,0.0733384153477803,0.00798871747002109,0.0313409336805312,0.0860630497050653,0.0998314182404999,0.0389474082947462,0.0592754413988972,0.031728196102742,0.0444375332614447,0.0413300275143561,0.0426906115569459,0.0274507530145275,0.0484294352636628,0.0285161507141891,0.0859176256050622,0.0430932119564232,0.0331847640978389,0.0510143664220343,0.0627574332221038,9130
"5","1997",0.0626509159204142,0.076145858072167,0.00791145338372506,0.0329288514876603,0.0852826940535131,0.0941057679884971,0.0376460653644027,0.0576706453668853,0.0302149897219633,0.0457932811829254,0.0387989036912116,0.0403488042835718,0.0284002548673749,0.050786369179136,0.0285613574470226,0.0797548708952194,0.0422566664343698,0.0323234274187838,0.057734634909198,0.0706841883319585,9725
"6","1998",0.0612895695242112,0.0742632461966927,0.00814819713901191,0.0338169491608989,0.0852379737180612,0.0905908666715645,0.0375860231851707,0.0577002087672264,0.0303877502006063,0.0461804616742379,0.0379402243592582,0.0398258023121303,0.0277124715286191,0.0479142663213894,0.0282668030638537,0.0819539035755557,0.0403602970696721,0.0324495484490181,0.0627205137368326,0.0756549233459892,9721
"7","1999",0.0602918875623646,0.0747521124581964,0.00838636731975587,0.0333746760019258,0.085818722337872,0.0826776767259474,0.0360649025129043,0.0541900195831619,0.029548129097483,0.0477829049467325,0.0364092448579908,0.0405670398110663,0.0282137916641573,0.0462055645815993,0.0273716999862526,0.0820879268339818,0.0392829410441912,0.0308113061602553,0.0778311200876049,0.0783319664265567,9501
"8","2000",0.0622331393534468,0.0764733932042013,0.00965771690879059,0.0339900596942551,0.0824612272362095,0.0763738270409537,0.035494775198237,0.0546027178318443,0.0297831056499982,0.0477540970508578,0.0356222584006497,0.0398132841181138,0.0283025940088835,0.0431612854891805,0.0309980619829442,0.0778273918308939,0.0373718827198463,0.0299881925449187,0.0853622645506728,0.0827287251851023,9339
"9","2001",0.0616419740757082,0.0685010185163027,0.0156645234540069,0.0319056883426201,0.0849974925621987,0.0781026968251934,0.0343706544232634,0.0551658733513164,0.0303800956025251,0.0463055826766392,0.0377571447354346,0.0430375136077152,0.0283736930967723,0.0432135591522258,0.0332003957280717,0.0740984785605074,0.0365357190011215,0.0313546607483938,0.0813573715039781,0.0840358640360055,8632
"10","2002",0.0607213152625103,0.0667162269804886,0.0309754315741328,0.0303529084644025,0.0858949914492012,0.0746017711386197,0.0345363976254017,0.0536974025746269,0.029759931428438,0.0417707523575282,0.0391018198223328,0.041960409840937,0.0273434925155264,0.0432669811716656,0.0344430185760047,0.0740317299500803,0.0363216802865519,0.0311809102600294,0.0782302777294122,0.08509255099211,8081
"11","2003",0.0583588248801791,0.0628598405131695,0.0430481225202559,0.0305820329373105,0.0876888944612301,0.0724127276341588,0.0367749752167929,0.0519946250273316,0.0315271033809309,0.0389713609144092,0.0402850993336934,0.0443337295389085,0.0275373530162663,0.0433115482418526,0.0373242941043008,0.0659424295799881,0.0382421350731032,0.0330666571669281,0.073013604790607,0.0827246416685836,8134
"12","2004",0.0565565279439654,0.0595364803854631,0.0527496172270752,0.0318315372136203,0.0821993526402813,0.0682312666538222,0.0365354581385377,0.0529784956085079,0.0329539589982515,0.0378830068758111,0.0400171246487361,0.0472107124307817,0.0284106050029977,0.0426723704139011,0.0394595462039626,0.065721788359224,0.0383248573715105,0.0343595398533988,0.0697195317899086,0.0826482222402434,8577
"13","2005",0.0568448984389482,0.062236747506057,0.0629226609380298,0.0334830202836517,0.0821943070822893,0.0675417600410062,0.0371490218200729,0.0535603390066617,0.0334554547191172,0.0373356713858021,0.039350778873189,0.0472864185196149,0.0293659564982737,0.0439898730829846,0.042041027283465,0.0660460398849559,0.0402907692445817,0.0342444491705888,0.0702000244420273,0.0604607817786829,8567
"14","2006",0.0562248709423374,0.062962600709689,0.0686382425534719,0.0345137962686572,0.0829946429418237,0.0649607757804159,0.0380379652777029,0.0522955815394254,0.0343905452507612,0.0362987080565264,0.0388124595733393,0.0443271615666461,0.0307035981293096,0.044793319627036,0.0442683306106773,0.0661956756982566,0.0432200387303097,0.0363860488614996,0.0695538588423836,0.0504217790397313,8517
"15","2007",0.0561906184268608,0.0588683803473489,0.0681430145673684,0.0343866727920734,0.0824393653405203,0.063728269549395,0.0363233686050713,0.0594246762654106,0.0338503636030387,0.0336851310293117,0.037306184872946,0.0426639894080387,0.0320162964585221,0.0414789601947863,0.0458772122948348,0.0645491396427283,0.0466973179344598,0.0383528164257645,0.0727232551960689,0.0512949670454515,8078
"16","2008",0.0521429224711695,0.0509310300069449,0.0685758985713124,0.0377202216944941,0.0774761599256189,0.0608127244227176,0.0324603345642292,0.0875271963813923,0.0323846601489001,0.0285486240964297,0.029862457037344,0.0381293419692683,0.0396160669092433,0.037750036610546,0.0421480870334026,0.0557889572057958,0.0589418986961209,0.0327175530525811,0.075003014649143,0.0614628145533463,8990
"17","2009",0.0516515134399998,0.0492207000413941,0.0707289289268521,0.0390875310825486,0.0727204688331543,0.0604273040857012,0.0322987567633018,0.0858008538928155,0.0326265598145848,0.0272014753366518,0.0286380245305258,0.0401727289523825,0.0425303753124431,0.037678004072872,0.0404723530827057,0.0563749608054641,0.0619266733552749,0.0323956620396034,0.0769964896323171,0.0610506359994076,9122
"18","2010",0.0527252382721211,0.0492689865161423,0.07321472824046,0.0384850063860391,0.0724360424754804,0.0621999024320039,0.0325696082349877,0.0847625252954302,0.0324977292627251,0.0267047852055269,0.0276556400553934,0.0399388138137443,0.0438881648177716,0.0379637795560967,0.0419440149157629,0.052206078228619,0.0627317818558994,0.0315077565153579,0.0787027155618311,0.058596702358607,8743
"19","2011",0.0512514722726628,0.0522310222592056,0.0727578731339259,0.0392268388593449,0.0728087470900605,0.0645069984981684,0.0320313743641764,0.0829555007356322,0.0337555875792589,0.0244219469650813,0.0271961897254714,0.0394859737707039,0.0440408483987945,0.037639374823183,0.0431710841299578,0.0533270285517419,0.0654995964726211,0.0324054165279895,0.0745201042493726,0.0567670215926474,8418
"20","2012",0.0510374983837768,0.0524146944430979,0.0719639853284641,0.0419328854260861,0.0697839109268205,0.0682290776951673,0.032320541988202,0.0789605111582529,0.0331302748168535,0.0240396119295942,0.0276386903202324,0.0392979666291951,0.0426640845077367,0.0376503457473789,0.0446794384859558,0.0519862310889618,0.0676772580322462,0.0329497080997541,0.0775322830118569,0.0541110019803671,8035
"21","2013",0.050119536515639,0.0509399713108944,0.0710573180593098,0.0425854787734204,0.0682191326485604,0.0699786415725268,0.0331436976644417,0.0775296919135553,0.03283759318759,0.0233130756610908,0.028136610230901,0.0393399597059852,0.0417752709518372,0.0380305756223039,0.051174113835485,0.0517155443306303,0.0662505490975951,0.0322475602136807,0.0796934815314833,0.0519121971730697,7900
"22","2014",0.0485522453128321,0.0498795692260156,0.0708611586959336,0.0430305335094518,0.0677621893467476,0.0725171435794579,0.0353318383123127,0.0730922663355918,0.0348215692382178,0.0224417402566837,0.0289611019774811,0.0390584521306199,0.0410842751678869,0.037628613687738,0.0590430444916577,0.0504144627429322,0.0601588230722494,0.0325525904258038,0.0833897877249187,0.0494185947654677,7705
"23","2015",0.0465062597237726,0.0506842228052107,0.0712805862874789,0.0417285292067693,0.0660892938213492,0.0731490242841968,0.0360162306795359,0.0726575135676923,0.0359641494485344,0.0223411435335016,0.0285965880553835,0.0399413339663982,0.0418437972677796,0.0378309496884451,0.0642337001098881,0.0507046317695458,0.0541753704626831,0.0323261858984214,0.0848223891920121,0.0491081002314014,7464
"24","2016",0.0470818428922376,0.0523612953341871,0.0740542355646495,0.0388650667542762,0.064976706710854,0.0730315437839984,0.0367289904438614,0.0710088483044167,0.0359298766693758,0.0218953882703569,0.029253345874146,0.0399765929574567,0.0421754988512605,0.0378904367428209,0.0671679379060038,0.0528008630894829,0.0504890529779249,0.0326774409700269,0.0838950450108524,0.0477399908918115,7324
"25","2017",0.0460910547652394,0.0513209601648253,0.0763535857747057,0.0388838113728824,0.0648838318126302,0.0739980577142447,0.0367359111715226,0.0712565949723454,0.0352993518580323,0.0212064123487256,0.0297171183336771,0.0399213528007131,0.0403246973764538,0.0371422746553411,0.0731895759094674,0.0517550192239886,0.0482145328773267,0.0319770338095465,0.0859559404014945,0.0457728826568376,6920
"26","2018",0.0448333313782903,0.0494788864821449,0.0758916920647686,0.0374609715674204,0.0651374478357075,0.0736571177992641,0.0374426938632124,0.0706455408248317,0.0360409095399002,0.0210525879336656,0.0295613830776573,0.0389068886353519,0.0414860825747701,0.0377594394510229,0.0799715340343101,0.0509237101550833,0.0451589658145004,0.0320134763058576,0.0881448736403488,0.0444324670218921,6762
"27","2019",0.0435562996515959,0.0491568005957774,0.0768989802089163,0.0371288816448188,0.064511877676189,0.0707674580890829,0.0382405877038877,0.0717828087066155,0.0362181749077343,0.0207015255858586,0.0294589660015723,0.0389671593721423,0.0420097193370682,0.038108073683308,0.0848252259891614,0.0499188601572203,0.0428929233404889,0.0309662333882837,0.09096256898659,0.0429268749736884,6584
"28","2020",0.0392731403842155,0.0431856405230448,0.0826831567865032,0.0360100705631386,0.0582533595566247,0.0650133386378518,0.0430876385886113,0.0947681428952617,0.0353716618945711,0.0189931365723142,0.0283814141991842,0.0357376517988921,0.0384295234574794,0.0359094820503642,0.0923112189155157,0.0435841212012821,0.0370573577379496,0.0291210972232921,0.0970142282300883,0.0458146187838156,6777
