"","year","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","n"
"1","1993",0.0405247441413976,0.0717005324739179,0.161270183363773,0.113856402163134,0.163040604514995,0.159146556014069,0.0771501735917886,0.0269319578039226,0.0890270506291526,0.0973517953038494,1224
"2","1994",0.0492225316383242,0.108285187120135,0.132377571796686,0.124348411162902,0.181709336439713,0.110369837128875,0.0990070814932427,0.0304488120901811,0.0824030365206456,0.0818281946092964,2479
"3","1995",0.055954627341411,0.101932878921675,0.141712245127882,0.162556813423633,0.142787277825918,0.0779442275810541,0.111454560499083,0.0432721412882777,0.0870167877362787,0.0753684402547875,4918
"4","1996",0.0817145610771096,0.111534077159556,0.13042592876973,0.150150970665032,0.124124699448224,0.0594536816540201,0.115034707587816,0.0596422095794996,0.079370495193529,0.088548668865484,9130
"5","1997",0.0918458085205031,0.116872720880775,0.12790440028791,0.14626237196148,0.117700792143294,0.0568101561366077,0.116169200102057,0.0588218435532377,0.0784333329003925,0.0891793735137432,9725
"6","1998",0.0997029105099576,0.111911875536299,0.127040290453742,0.146240362254657,0.118635307760521,0.0565461644450497,0.116537325350086,0.0587190379895164,0.0755706640892261,0.0890960616109459,9721
"7","1999",0.122198689978936,0.106755376692291,0.125767862422978,0.137391860302212,0.1198337676032,0.057302374209343,0.113153729204609,0.0573540080415783,0.0724799424828876,0.0877623890619646,9501
"8","2000",0.133252126056892,0.106567522107943,0.121654232597757,0.134323927176402,0.116310832458561,0.0564056095710972,0.113822719902318,0.0621228631980886,0.0692493521616763,0.0862908147692647,9339
"9","2001",0.127079931503749,0.100175775448731,0.127075188897345,0.1420334651049,0.111522009589379,0.0611804879547453,0.11220049578124,0.0651241411095379,0.0687762352451009,0.0848322693652718,8632
"10","2002",0.124761884133373,0.0989156534122615,0.131261832460081,0.144444866751195,0.110838554048585,0.0609087194621307,0.1111533014863,0.0666863586509028,0.0692903382226278,0.0817384913725433,8081
"11","2003",0.120435258645141,0.0961420759083884,0.135063294989266,0.145016704304227,0.104081683150252,0.0665262439539472,0.107048768164735,0.0715516505422561,0.0728232255277564,0.0813110948140313,8134
"12","2004",0.118008980198147,0.0940452440969957,0.129539129709672,0.148034099849349,0.104860739063688,0.0721175245439842,0.104712398017183,0.0758839128307878,0.0731979466442274,0.0796000250459666,8577
"13","2005",0.116315228973924,0.0975008429956737,0.129330854908857,0.145078030835478,0.106944666300365,0.0700168709065005,0.102152068446116,0.0777431658500561,0.0768400600868149,0.0780782106962144,8567
"14","2006",0.115465999480428,0.098108990633212,0.130256369919733,0.141980482804013,0.107605992848019,0.0681271407418393,0.0997841442192582,0.0805671883266321,0.0808789312161205,0.0772247598107456,8517
"15","2007",0.118969630892627,0.0923286924300563,0.12826514251559,0.154878576082081,0.106303903162617,0.0637860039060048,0.0977909059899337,0.0820967699899805,0.0830536762033775,0.072526698827732,8078
"16","2008",0.124728267642855,0.0860840979447364,0.11725295694934,0.187635354674215,0.100981649148286,0.0546989339885621,0.0903140768072889,0.0782812955249958,0.0964084484177155,0.0636149189020061,8990
"17","2009",0.128612308546216,0.0836791607833923,0.111613636345513,0.18658943942801,0.103704164243711,0.0563509723370045,0.0903308522336026,0.0771235117701087,0.100292890548378,0.0617030637640624,9122
"18","2010",0.130484296274495,0.0837109348330574,0.11060835404622,0.186582438767247,0.0998973063456264,0.0558668360760588,0.0910100371383826,0.078864620258279,0.101288343388158,0.0616868328724747,8743
"19","2011",0.126180861976637,0.0858593757520649,0.11072881819189,0.186588830740785,0.101908174504266,0.0553632917150128,0.0897258297963128,0.0811699180983024,0.104068339042025,0.0584065601827029,8418
"20","2012",0.131119365815281,0.087278959859866,0.107466443287214,0.184433521530274,0.0992136103072865,0.0553011153051602,0.0885774486409542,0.0823602317051792,0.106159942913689,0.0580893606350968,8035
"21","2013",0.134239123661086,0.0860231153238517,0.10653134210204,0.180910014583054,0.0973632135293587,0.0557551991748821,0.0870426439812409,0.0891859640118247,0.105155528293803,0.0577938553388584,7900
"22","2014",0.13856502652959,0.0858323577156632,0.107094311569936,0.176739402122648,0.095402023447834,0.0552807869122453,0.084965886094533,0.100162199637158,0.0976939469137253,0.0582640590566661,7705
"23","2015",0.139383715840827,0.085438797429112,0.105093128997977,0.177629271670713,0.0965242429287194,0.0563042774380692,0.0831257077658244,0.107019388453802,0.0913093337423907,0.0581721357325652,7464
"24","2016",0.137312539772875,0.0847730361970474,0.104807499334797,0.175674005939568,0.0997271081959612,0.0578521605325863,0.0840025980552942,0.110785731389004,0.0872282001432372,0.0578371204396297,7324
"25","2017",0.13936252525116,0.0839454956594242,0.105280714208043,0.17781559871948,0.0971636184683078,0.0569655455944868,0.0817408677960057,0.117173410298084,0.0839364124296218,0.0566158115753871,6920
"26","2018",0.140576205172105,0.0812162450793945,0.105526443064247,0.176420052825537,0.0967864727497046,0.0560950306276718,0.0803007035836617,0.126250075984204,0.0809907231275125,0.0558380477859613,6762
"27","2019",0.144515874099386,0.0797198273975298,0.104483547809114,0.173312249486109,0.0968674843196478,0.0564902829869124,0.0783503419077845,0.132132886279424,0.078182078456965,0.0559454272571269,6584
"28","2020",0.155147647151127,0.0734515124805491,0.0972151582154218,0.195145511872283,0.0865992417094689,0.052909180908436,0.0712375317810465,0.141356550507234,0.0702360161042002,0.0567016492702332,6777
