"","year","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","n"
"1","1993",0.163369027459105,0.133285515366508,0.177645214290178,0.0255849318570455,0.0831911696970058,0.093854413709527,0.039799334105773,0.0935733813280834,0.0526979763758786,0.136999035810896,1224
"2","1994",0.114170146589214,0.140316872051588,0.198069745551803,0.0287477208047076,0.136670953562898,0.0729625342257674,0.0542837669987836,0.0846647181047484,0.058517547478496,0.111595994631994,2479
"3","1995",0.08106963013913,0.175706866410115,0.184324496424924,0.041368249091028,0.116845780977835,0.063968461684309,0.0635078473239235,0.0869930970928442,0.0634800144969827,0.122735556358909,4918
"4","1996",0.0629141959698424,0.160803139926612,0.168816803886017,0.0560705084462391,0.122860079150093,0.0716882697463978,0.0892744671609471,0.0787654394730572,0.0753794901910363,0.113427606049758,9130
"5","1997",0.0609574056597554,0.156202796830376,0.163016391703406,0.0553397002872262,0.128496086371955,0.073854666904161,0.0969200482293148,0.0767777359700243,0.0766196377027844,0.111815530340996,9725
"6","1998",0.0598726516753506,0.155503331483191,0.163786539472878,0.0555665053678379,0.123976923192905,0.0749841579888355,0.104743092150149,0.0741096317630968,0.0756836042147993,0.111773562690956,9721
"7","1999",0.0613279956332766,0.145921679044137,0.158926166837074,0.054855020821669,0.120717913586761,0.0762654769298926,0.12629661347615,0.0715004414142102,0.0732120256918191,0.11097666656501,9501
"8","2000",0.059945840357222,0.142982960408176,0.151529315554308,0.0599283386324595,0.121089139573699,0.0762536454670678,0.140012931924716,0.0692089901994358,0.0718751492574862,0.107173688625429,9339
"9","2001",0.0652091611886848,0.151229795508028,0.145405943919453,0.0633903660185794,0.112255429288903,0.0747198569544932,0.135617262141731,0.0687963221880786,0.0720868512810358,0.111289011511013,8632
"10","2002",0.0653736172596573,0.153718536130086,0.145200874174116,0.064943248345374,0.109393508579428,0.0691940670698262,0.134351465120451,0.0697615307552895,0.0736401428491505,0.114423009716622,8081
"11","2003",0.0705146338920287,0.15272889596888,0.133739502092283,0.0702647420411543,0.105924712120077,0.0671057269841526,0.129008971200718,0.0730302040355364,0.0787090992258932,0.118973512439277,8134
"12","2004",0.0760442492101539,0.153965063916021,0.130990367382056,0.0745223707719045,0.102762490758275,0.0674375901326492,0.126187469704536,0.0734438989392013,0.0800849731259876,0.114561526059214,8577
"13","2005",0.0741808418780954,0.149602942046977,0.130661274931654,0.0768660031581565,0.107399905338913,0.0663861871345703,0.123557127858099,0.0777317261271548,0.0787074553322222,0.114906536194158,8567
"14","2006",0.0717100655521784,0.145580382275092,0.128455580836117,0.079537110413306,0.108145602696287,0.0660102241452525,0.121385153796639,0.0824709400657148,0.0796095446783688,0.117095395541044,8517
"15","2007",0.067749355004286,0.158672146101808,0.12712046411191,0.0808855394272337,0.102862913568072,0.0619693954599475,0.124439726563429,0.0855476694342257,0.0760065852001505,0.114746205128938,8078
"16","2008",0.0583284465766492,0.186727438213258,0.120394543450607,0.0773875547063293,0.0974499565459895,0.0554809741908662,0.127642631861481,0.10036304041887,0.0707221600425728,0.105503253993377,8990
"17","2009",0.0599644977804362,0.184708537603238,0.122889860994063,0.0764182271618084,0.0962610351505296,0.054054924715107,0.130885770141528,0.104881473083758,0.0697293863024273,0.100206287067105,9122
"18","2010",0.0594698904410535,0.18393902075683,0.119637405463747,0.0778982548112373,0.0965421013301732,0.0530121859947885,0.133154881234526,0.106609512239342,0.0702715811345894,0.0994651665937133,8743
"19","2011",0.0590253706845719,0.18427373058412,0.119641758990839,0.0802791809867033,0.100496736045847,0.0498233070655415,0.129879209704608,0.109941021128245,0.0663326141677108,0.100307070641815,8418
"20","2012",0.0587575548432994,0.18296972912519,0.115737757686574,0.0812974593258561,0.101612317817434,0.050049241571058,0.134222898028435,0.111600001337341,0.0665701090260165,0.097182931238796,8035
"21","2013",0.0592095825687682,0.179812792407527,0.113406184252521,0.0878609966895657,0.100178663945632,0.0491030238750955,0.136520137527135,0.110419244324891,0.0672721706347189,0.0962172037741464,7900
"22","2014",0.058711110553222,0.176510966744488,0.109721892267234,0.0980620361250606,0.0989864507734485,0.0481334071200681,0.139826280123626,0.103459419875321,0.0704053993715458,0.0961830370459863,7705
"23","2015",0.0595884270140658,0.177534538805225,0.109045896901045,0.104479802228025,0.0990098139127122,0.0479898255097346,0.140015803030114,0.0974819978528074,0.0704944414475533,0.0943594532987171,7464
"24","2016",0.0605229366789788,0.175882162992775,0.110403513979373,0.108192691501947,0.100302153774748,0.0464361984697283,0.138821238425122,0.0933339715292628,0.0722664342280543,0.0938386984200104,7324
"25","2017",0.0597150358610579,0.178551280476998,0.107217718340369,0.114046836295486,0.0986308076391993,0.0451384826873342,0.140641354516786,0.0900865082861174,0.0718687151208568,0.0941032607757949,6920
"26","2018",0.0590683618189309,0.176722322955695,0.105704508313485,0.12256634578575,0.0958519044897743,0.0442983614915184,0.141849569967134,0.0873018564500065,0.072156710809796,0.0944800579179098,6762
"27","2019",0.0592647618794015,0.174145380690971,0.103281828177758,0.128121259415138,0.0947939986370431,0.0437138960461652,0.145036630543538,0.0847618322751024,0.0735057177871655,0.0933746945477178,6584
"28","2020",0.0550438011240773,0.194878061609144,0.0919725504775629,0.135616372218916,0.085950839155495,0.0406720388639933,0.148555297303786,0.0763323390879981,0.0853182141759022,0.0856604859831254,6777
