"","year","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","n"
"1","1993",0.0207952857886995,0.0139218983145669,0.0234087039437173,0.00496340295372608,0.0279654062634753,0.0900564626407419,0.072232544399345,0.0465488426908814,0.0430267942947838,0.0112399145715602,0.038899453209178,0.0311299161678222,0.0717173806969713,0.00870595660869841,0.0113391575569036,0.0505819631616954,0.0488289631671339,0.117771405003484,0.0181512130287076,0.0215773125810274,0.0184536719450135,0.0168223882532837,0.034292889473973,0.00802847730858419,0.0372671778758997,0.0169224672130145,0.0285923736001587,0.0104547007593922,0.0508662349944104,0.00543764153315136,1224
"2","1994",0.0311750223772682,0.0223843823359905,0.0521575482277504,0.00493499190129663,0.0236926138185627,0.106734642586646,0.0575888105494693,0.0445864318467332,0.0372603221904126,0.0124306965690287,0.0373948768647258,0.0330469330205086,0.069017636058015,0.00986393306498352,0.0109446720702116,0.0727498804496554,0.0389389685824036,0.0737698548095621,0.0190864908571894,0.0336221486824855,0.0202036038504274,0.0218622207579509,0.029282411965254,0.0101886727117437,0.0331149075801178,0.0169792801346043,0.0248995124863659,0.011163325569827,0.0353386860734626,0.00558652200734731,2479
"3","1995",0.0403272983119171,0.0262260146308298,0.0437724991189467,0.00522432746711782,0.0206832409537179,0.090493829559883,0.0643567750588209,0.0378328450349189,0.0359218527153649,0.014279479904881,0.0431653955598291,0.036286264727652,0.0556113720728849,0.0140463498476984,0.0113969940432192,0.105062430605573,0.0414675375729288,0.0469708057765778,0.0227857080749987,0.0225987939326467,0.0212353547022708,0.0225389806531543,0.0271473420237591,0.016467253486328,0.0360823928960561,0.0201377935911143,0.0271117048699063,0.013057827875991,0.0300123349864379,0.00769919994457543,4918
"4","1996",0.0428551540406387,0.0394308582820205,0.0450944463153072,0.00497621718684068,0.0257919030208105,0.0757326951139111,0.0517732017098889,0.0341810356591607,0.0326639146875628,0.0156494452278099,0.0451640339434614,0.0473047842619684,0.0509973629851712,0.0202773467608089,0.015094307423435,0.0871527679727064,0.0468131741808436,0.033091945308262,0.0293152788808048,0.0208087607601215,0.0199994710800273,0.0296768046263155,0.023488442019968,0.0212066302653098,0.0322780682021428,0.022957975579199,0.0265353791206446,0.0149611526937879,0.0344166921721185,0.0103107505189524,9130
"5","1997",0.042796563845453,0.0414868342716259,0.048184848988149,0.00491371190578868,0.0261095898662628,0.072089020261321,0.0502355061013742,0.0366412078384509,0.030217310048832,0.0158202308903868,0.0453806549873618,0.0540129020922237,0.0472913723731458,0.019937016338911,0.0164849521583042,0.0791000370550597,0.0482847101666745,0.0312570234510623,0.0349220880647438,0.0222794694584437,0.0194837689158976,0.0276903151202002,0.0226872791832526,0.020124933357121,0.0312035410372466,0.0226553329076763,0.0259196706208156,0.0161056120298961,0.0362383087931508,0.0104461878711686,9725
"6","1998",0.0422487868703843,0.0431902123958071,0.0469702907482044,0.00504860944364533,0.0263843483790666,0.0720158864870721,0.0505709382449129,0.0346715049416659,0.0293706958937162,0.0158527415463479,0.0462431144830575,0.0589319095615521,0.0483208502313859,0.0195596150643908,0.0184370570840051,0.0731424454396926,0.0474123671198672,0.0311420832813219,0.0374390423736475,0.0218778978838267,0.0192397185569707,0.0280527520989129,0.0207742959547718,0.0205463082584197,0.0305079192119523,0.0216363322369863,0.0281379326949932,0.0158048348509182,0.0360676712534659,0.010401837409039,9721
"7","1999",0.041984788937221,0.0488192831301916,0.0480965455219933,0.0052262900394335,0.022855175285394,0.0698600012824612,0.0528007031810506,0.0334282682150078,0.0280238335658705,0.0160216609324113,0.0436851224746087,0.0615801164550615,0.0491935504178227,0.0191124994098848,0.0274956915603429,0.0651882307724071,0.0448574788793604,0.032131066371561,0.0417534743641363,0.0219562375802878,0.0183990376475622,0.0262949006833746,0.0212939252397851,0.0196478924386301,0.0288318693998045,0.0202984505831067,0.0275142827260101,0.0152692510632729,0.0383007568372901,0.0100796150046556,9501
"8","2000",0.0438572751523719,0.0528760621376084,0.0495922368714481,0.00611522748918902,0.0232292600184664,0.0683589947657625,0.0516748697748817,0.031439447611313,0.0272927586677503,0.0158263442897655,0.0447729450488135,0.0653859875099079,0.0458960299662606,0.0219445992471612,0.0293105335161813,0.0576650905486432,0.0422714632657556,0.0318281393592252,0.0440133334128099,0.0228575895789533,0.0186688884934003,0.0259286894233167,0.0200301547976626,0.0196392981136835,0.0275195394281504,0.0194157946296836,0.027838861013207,0.0151986916636828,0.0381851120281438,0.0113667821768007,9339
"9","2001",0.0436073357659571,0.0509598338539223,0.0443598528445007,0.0107458906177055,0.0237067731269323,0.0639170584923665,0.0539155404398561,0.0314044087142873,0.0292664533891128,0.0164523742865484,0.0461248541543036,0.0672632667511115,0.0446605841376239,0.0228747905886631,0.0254135732783478,0.0568332633387482,0.0432794956711009,0.0349762437720193,0.0444844135348267,0.0215446689534629,0.0187053244570053,0.0247357735698875,0.0197489892448178,0.0199404948732652,0.0270699881681473,0.0192370465653297,0.0302901861536991,0.0152722231086603,0.0363168882473138,0.0128924099004771,8632
"10","2002",0.0433128449914931,0.048518742875664,0.0433004662966106,0.0224513859477313,0.0217921589607419,0.062411571873305,0.0560864519471647,0.0315657093123333,0.0303775428087788,0.0176260845998364,0.0445394722251687,0.0689328285521984,0.0444297378104272,0.0222951119110469,0.0234765825775336,0.0531622184450439,0.0423780809118905,0.0339367610011171,0.0458300472313445,0.020518616534512,0.0197178576125744,0.0251046590443143,0.0193526362633719,0.0194028511585177,0.0272472694606308,0.0195207127041176,0.0303311821485432,0.0156664378290984,0.0329455291904604,0.0137684477744291,8081
